epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,8365.42,0.45185,0.71883,0.18823,0.95909,0.9706,0.97986,0.81439,0.20983,0.34022,0.11324,0.01,0.01,0.01
2,16522.7,0.42998,0.46081,0.172,0.96581,0.98065,0.98752,0.89619,0.13117,0.27525,0.08126,0.00997288,0.00997288,0.00997288
3,24960.4,0.42084,0.4553,0.16818,0.96872,0.98471,0.98842,0.91143,0.11851,0.25756,0.07427,0.00989183,0.00989183,0.00989183
4,33409.3,0.41102,0.46347,0.16772,0.96822,0.98596,0.98914,0.91972,0.11083,0.24916,0.07123,0.00975773,0.00975773,0.00975773
5,41770,0.40713,0.4769,0.16787,0.96993,0.98657,0.98944,0.91771,0.11416,0.2504,0.07139,0.00957205,0.00957205,0.00957205
6,49543.7,0.39942,0.47837,0.16673,0.97158,0.98618,0.98997,0.92076,0.11218,0.25284,0.07077,0.00933683,0.00933683,0.00933683
7,57277.2,0.35104,0.4437,0.15583,0.97546,0.98517,0.99098,0.91757,0.11822,0.24573,0.073,0.00905463,0.00905463,0.00905463
8,65234.4,0.31948,0.54072,0.15891,0.97517,0.98314,0.99115,0.91167,0.12502,0.25459,0.07918,0.00872857,0.00872857,0.00872857
9,73033.7,0.31365,0.41921,0.14373,0.9768,0.98166,0.99148,0.90855,0.12938,0.25159,0.08053,0.0083622,0.0083622,0.0083622
10,82775.7,0.35808,0.43004,0.16561,0.97864,0.9807,0.99179,0.91825,0.12185,0.23951,0.07384,0.00795954,0.00795954,0.00795954
11,91295,0.3339,0.42417,0.14984,0.97871,0.98168,0.99165,0.91275,0.12566,0.2413,0.07411,0.007525,0.007525,0.007525
12,99944.9,0.32456,0.42232,0.14611,0.97934,0.98314,0.99157,0.90992,0.12907,0.24188,0.0742,0.00706335,0.00706335,0.00706335
13,107961,0.30749,0.4148,0.14111,0.97919,0.98359,0.99163,0.91691,0.11969,0.23342,0.07184,0.00657963,0.00657963,0.00657963
14,116426,0.31161,0.40671,0.13876,0.97851,0.98529,0.99145,0.91861,0.11797,0.23275,0.0715,0.00607916,0.00607916,0.00607916
15,124259,0.30639,0.40411,0.13762,0.97851,0.98519,0.99119,0.88694,0.15448,0.26143,0.07905,0.00556742,0.00556742,0.00556742
16,132023,0.27723,0.42069,0.13295,0.9783,0.98532,0.9911,0.9086,0.12879,0.24009,0.07283,0.00505,0.00505,0.00505
17,139858,0.25857,0.39851,0.1282,0.97815,0.9846,0.99113,0.91748,0.11973,0.23105,0.07001,0.00453258,0.00453258,0.00453258
18,147577,0.23433,0.35615,0.11746,0.97881,0.9853,0.99142,0.92609,0.11041,0.22127,0.0677,0.00402084,0.00402084,0.00402084
19,155263,0.2358,0.40027,0.12089,0.97933,0.98496,0.99137,0.92154,0.11634,0.22882,0.06867,0.00352037,0.00352037,0.00352037
20,163203,0.23633,0.53443,0.12344,0.97454,0.98485,0.99038,0.92785,0.11074,0.23297,0.06732,0.00303665,0.00303665,0.00303665
21,171605,0.1844,0.55764,0.10718,0.9719,0.97164,0.98714,0.93018,0.1072,0.29735,0.06641,0.002575,0.002575,0.002575
22,179059,0.17359,0.63595,0.10384,0.88917,0.88583,0.94748,0.8894,0.11202,0.52792,0.06818,0.00214046,0.00214046,0.00214046
23,186232,0.16734,0.54946,0.09868,0.91519,0.85487,0.94157,0.88409,0.11083,0.88564,0.068,0.0017378,0.0017378,0.0017378
24,195703,0.17143,0.45794,0.09587,0.96556,0.888,0.96303,0.90588,0.10829,0.89833,0.0675,0.00137143,0.00137143,0.00137143
25,207485,0.14865,0.36697,0.08492,0.98504,0.96963,0.98798,0.93309,0.10206,0.49581,0.06566,0.00104537,0.00104537,0.00104537
26,216596,0.13308,0.25231,0.07778,0.98347,0.98005,0.99084,0.93935,0.09989,0.25522,0.0644,0.000763174,0.000763174,0.000763174
27,227647,0.1223,0.22789,0.07308,0.9839,0.97899,0.99166,0.94109,0.09904,0.20839,0.06366,0.00052795,0.00052795,0.00052795
28,236860,0.11556,0.21999,0.07035,0.9849,0.98259,0.99251,0.94321,0.09682,0.19811,0.06275,0.00034227,0.00034227,0.00034227
29,245805,0.10981,0.20802,0.06788,0.98444,0.9848,0.99289,0.94461,0.09536,0.19409,0.06218,0.000208169,0.000208169,0.000208169
30,254360,0.107,0.20308,0.0663,0.9841,0.98642,0.99293,0.94501,0.0943,0.19179,0.06169,0.000127117,0.000127117,0.000127117
