epoch,gpu_mem,box,obj,cls,total,labels,img_size,Precision,Recall,mAP@0.5,mAP@0.5:0.95,val_box_loss,val_obj_loss,val_cls_loss
0/29,3.01G,0.04714,0.006446,0.02123,0.07482,63,640,0.4654,0.232,0.1967,0.09016,0.06786,0.008556,0.0333
1/29,22.1G,0.04237,0.006177,0.01774,0.06629,51,640,0.5418,0.5072,0.5295,0.3155,0.0592,0.007201,0.02174
2/29,20.9G,0.04066,0.005868,0.016,0.06253,55,640,0.6112,0.5809,0.6082,0.3812,0.05683,0.007097,0.01975
3/29,20.9G,0.04004,0.005759,0.01525,0.06105,63,640,0.6282,0.5574,0.5863,0.3666,0.05797,0.007197,0.02028
4/29,20.9G,0.03969,0.0057,0.01478,0.06017,51,640,0.5959,0.4831,0.5145,0.3178,0.05936,0.007566,0.02316
5/29,20.9G,0.03931,0.005643,0.01457,0.05953,57,640,0.5947,0.414,0.4376,0.2642,0.06096,0.008117,0.02567
6/29,20.9G,0.03951,0.005595,0.01445,0.05956,46,640,0.4845,0.3651,0.3829,0.2298,0.0615,0.00863,0.02709
7/29,20.9G,0.03935,0.005594,0.01415,0.05909,50,640,0.4813,0.3846,0.3877,0.2341,0.06115,0.008811,0.02636
8/29,20.9G,0.03907,0.005576,0.01395,0.0586,54,640,0.5043,0.4216,0.43,0.2631,0.06,0.008723,0.02491
9/29,20.9G,0.03873,0.005544,0.01379,0.05807,64,640,0.552,0.4573,0.4868,0.3027,0.05872,0.008439,0.02318
10/29,20.9G,0.03867,0.005525,0.01362,0.05781,59,640,0.5639,0.5101,0.5314,0.3331,0.05779,0.008193,0.02183
11/29,20.9G,0.03858,0.005477,0.0135,0.05755,67,640,0.5967,0.5479,0.578,0.3662,0.05672,0.007936,0.02044
12/29,20.9G,0.03822,0.005457,0.01327,0.05695,61,640,0.6401,0.5811,0.6286,0.4024,0.05559,0.007626,0.01906
13/29,20.9G,0.03801,0.005418,0.01322,0.05665,62,640,0.662,0.6245,0.6732,0.4352,0.05465,0.007373,0.01786
14/29,20.9G,0.03778,0.005405,0.01298,0.05617,58,640,0.6953,0.649,0.7056,0.4594,0.05389,0.007165,0.01692
15/29,20.9G,0.03742,0.005365,0.01276,0.05554,71,640,0.7162,0.6659,0.7287,0.4779,0.05323,0.007016,0.01631
16/29,20.9G,0.03741,0.005326,0.01275,0.05549,66,640,0.7358,0.6802,0.7498,0.4949,0.05261,0.006904,0.01574
17/29,20.9G,0.03694,0.005286,0.0125,0.05473,56,640,0.7586,0.687,0.7648,0.5089,0.05215,0.006799,0.01532
18/29,20.9G,0.03677,0.005247,0.01229,0.05431,72,640,0.7521,0.7117,0.7763,0.5197,0.05172,0.006736,0.01497
19/29,20.9G,0.03612,0.005216,0.01206,0.0534,55,640,0.7571,0.7236,0.7864,0.5291,0.05133,0.006688,0.01476
20/29,20.9G,0.03588,0.005164,0.01184,0.05288,54,640,0.7598,0.7374,0.7962,0.5384,0.05094,0.006628,0.01452
21/29,20.9G,0.03535,0.005134,0.0117,0.05218,54,640,0.7748,0.7418,0.8068,0.549,0.05056,0.00658,0.01414
22/29,20.9G,0.03517,0.005089,0.01141,0.05167,47,640,0.7908,0.7429,0.8152,0.5574,0.05037,0.006542,0.01395
23/29,20.9G,0.03472,0.005019,0.01121,0.05094,51,640,0.8041,0.7455,0.8227,0.565,0.05012,0.006497,0.01372
24/29,20.9G,0.03439,0.004998,0.01096,0.05036,55,640,0.802,0.7611,0.8303,0.5732,0.04974,0.006476,0.01349
25/29,20.9G,0.03406,0.004942,0.01075,0.04975,62,640,0.8255,0.7556,0.8381,0.5816,0.04946,0.006445,0.01334
26/29,20.9G,0.03379,0.004906,0.01053,0.04923,60,640,0.8188,0.7743,0.8452,0.5891,0.04911,0.00643,0.01315
27/29,20.9G,0.03341,0.004875,0.01053,0.04881,53,640,0.8433,0.7665,0.8518,0.5967,0.04888,0.006395,0.01301
28/29,20.9G,0.03342,0.004844,0.01039,0.04866,61,640,0.8458,0.777,0.8584,0.6037,0.04861,0.006362,0.01283
29/29,20.9G,0.03323,0.00483,0.01034,0.0484,65,640,0.8392,0.7945,0.8644,0.6099,0.04835,0.006337,0.01268
